index,a0,a1
0,0.7170507062928279,-0.30900226538735365
1,0.5772125002322038,0.16713509433650714
2,0.5737374727482134,-0.08908677034837531
3,0.5509595789910845,-0.22730741876600766
4,0.4631632907486096,-0.12005235786747434
5,0.43959238341816886,-0.0012937110379490774
6,0.48322385274173735,-0.02035083035269366
7,0.5121320423267836,0.02213606606234347
8,0.5386750974573798,0.021659230196807093
9,0.5370108893852517,0.0824706546963213
10,0.5345781557898999,0.017284525128879256
11,0.5362857367688109,-0.03503551899833017
12,0.5526860535125275,-0.03772420929507771
13,0.5416309220857548,-0.08033954036316215
14,0.5504133189525598,-0.10466369978224338
15,0.5484654679580364,-0.058684607294696794
16,0.5574824949977736,-0.07675962059164756
17,0.5528613731670268,-0.03676271687468681
18,0.5506410904590324,-0.06821842315808954
19,0.560618535990307,-0.062159109974155136
20,0.5690843227194511,-0.05000660393449678
21,0.57029421018986,-0.021658629046852892
22,0.5609668338067297,-0.047460150612322186
23,0.5685186603891111,-0.03872426911987654
24,0.5731894684583881,-0.02057083104266865
25,0.5782964403580747,-0.006257806389243099
26,0.581022621188998,-0.02420203891102994
27,0.5853649310379432,-0.03630620391918039
28,0.5889660690177212,-0.04893804426935855
29,0.5921523769188728,-0.06120947613476536
30,0.5754962088096905,-0.06664184291973099
31,0.5791239869925698,-0.05213760352069824
32,0.581537543279232,-0.036096235466077764
33,0.5802982413734971,-0.01677666636613281
34,0.5814704910804639,-0.03176174360010218
35,0.5763501414729301,-0.048492626498165714
36,0.5809424355710663,-0.0439318081259516
37,0.5795428939001527,-0.026274036676444245
38,0.5783928338230332,-0.00961456954800341
39,0.5791294024604222,-0.02335605594578285
40,0.578902884571417,-0.037395483223160136
41,0.580550736192427,-0.04835841806456556
42,0.5810476492883514,-0.034059178545520465
43,0.5844591449570636,-0.03874093505810401
44,0.5880495952163041,-0.04061577579889059
45,0.591208895584443,-0.044663549744054606
46,0.5895623860944964,-0.05718620641334301
47,0.592541962037193,-0.06082089221616591
48,0.5926231248714888,-0.07126811882757379
49,0.5957589090162739,-0.07127520171714069
50,0.5982024448982464,-0.07565306434579049
51,0.598533616037877,-0.0847642634866692
52,0.5921424606446744,-0.07306338238310978
53,0.5943937278531543,-0.06573523041158302
54,0.5958131752683314,-0.056406815705308255
55,0.5961105135006213,-0.04551799255361479
56,0.5983406023775296,-0.03978233943384726
57,0.5922607477428503,-0.0480528120779769
58,0.5909737417322527,-0.03652263800785547
59,0.5889579719603496,-0.04664114991186896
60,0.5822911304406687,-0.038764795254463844
61,0.5843536291424916,-0.03271481635575542
62,0.5868439368594949,-0.034903630697944006
63,0.5875579480943934,-0.04255207028903027
64,0.5874919884802432,-0.050923097945664686
65,0.5868985884152692,-0.0594727925698713
66,0.5886883777635891,-0.05338243872584741
67,0.5899574233939516,-0.04610699819720435
68,0.5889411567467013,-0.054580050566890505
69,0.5910635107167056,-0.0509499260009865
70,0.5874276059195497,-0.041773049987415045
71,0.5847578378170534,-0.03239567503958429
72,0.5834898643564481,-0.023184732941500634
73,0.5845752037865338,-0.02917839355947926
74,0.586694810723151,-0.030786218749226428
75,0.5867621326495599,-0.037985084485204774
76,0.5880457949922829,-0.032111769403772354
77,0.5900162964068247,-0.03383220658582804
78,0.5903658491888725,-0.04032077982305094
79,0.5919366788307527,-0.035901129332496534
80,0.5929833313654009,-0.04085473475551553
81,0.59310977160865,-0.033468700474375196
82,0.5944363921599226,-0.028715368379248575
83,0.5956733798397348,-0.02388534159451564
84,0.592988266290048,-0.016293721978307973
85,0.5938505096380543,-0.021446688664438555
86,0.594757630303037,-0.016066745315538866
87,0.5965338722345519,-0.01603497395861263
88,0.5973498280085574,-0.020966528606448674
89,0.5982665387093706,-0.025503802435006093
90,0.5983072131036671,-0.03144826375514923
91,0.5999287828875791,-0.02997480146620896
92,0.60086243114439,-0.025231880183967676
93,0.6024356247861586,-0.024065454037721753
94,0.5979985593959445,-0.01926784671295698
95,0.5945154408382091,-0.013447311602143693
96,0.5916151644845766,-0.0072690474448014325
97,0.5902398562854633,-0.0006205522977936534
98,0.5912822705832971,-0.004574353321317075
99,0.5903545628242655,0.0018550330972272877
100,0.5914331579180683,0.00553947381424494
101,0.5888012177321855,-0.0003327789621529499
102,0.5899287657635971,0.0031187198804509854
103,0.5897589550416371,-0.002650484929571143
104,0.5887686606568403,0.0034832306430286827
105,0.590152363311453,0.005466121041174688
106,0.5891072988954316,0.011421141278540537
107,0.5902190288027515,0.014463763091934218
108,0.589645391877021,0.008577886503962063
109,0.5858211219012929,0.012252395003091252
110,0.5867010145058218,0.008359006196157053
111,0.5879822243490473,0.006092420629266652
112,0.5883504175296879,0.01072004932427127
113,0.5855054284358807,0.015362272044122223
114,0.5869286347629497,0.014564159638799347
115,0.5874971708721903,0.018653140668691164
116,0.588724254600043,0.016437643109221474
117,0.5900990170910636,0.016101672046486448
118,0.5868901768283007,0.012002219987761117
119,0.5880820452472233,0.013961168166989292
120,0.5868985376583141,0.01916756733539582
121,0.5881465129059257,0.017474390010295524
122,0.5893255414367214,0.01547781280744721
123,0.5869780265090498,0.010729933001068753
124,0.5865221616120284,0.0056365928307627565
125,0.5874607641777775,0.002768843502356763
126,0.5848624966978462,-0.0014485223893927362
127,0.5831881965853403,0.0034296623939284007
128,0.5834124905207038,0.007696212315825849
129,0.5826860105090405,0.012565739897255325
130,0.5835523168881247,0.01539945043069134
131,0.5813373724473943,0.019577529437679313
132,0.5815823537711963,0.0152841131428185
133,0.5827108903195861,0.016888703929858754
134,0.5802808986409705,0.020687348347571757
135,0.5793118017074099,0.025271506174301808
136,0.5803029822676641,0.02277274033371557
137,0.5799287548183171,0.01806703273012257
138,0.5764927209962231,0.01585840827151612
139,0.5724518068150276,0.015428279791167924
140,0.5732806573614608,0.012453716848554456
141,0.5724853479995937,0.016902758301554938
142,0.5690230911216645,0.01841617706954505
143,0.5701040817145719,0.016382961426119502
144,0.5698948553627535,0.0205496605231274
145,0.5707109777281835,0.023181168913817718
146,0.5710653931230211,0.026691001370432243
147,0.5722319639868214,0.02751120043699043
148,0.5712476167584691,0.02302086917333079
149,0.5723854289896175,0.021768860252457792
150,0.5735069408060323,0.022726703333515376
151,0.5726242920600325,0.026810602265877625
152,0.5700895134991376,0.029496025242989485
153,0.5707211204728359,0.03228481895646881
154,0.5718780164102273,0.03244458174570501
155,0.5692211003800913,0.029713949403441464
156,0.5703393014370158,0.028650707440889746
157,0.569662745307224,0.0243928211540121
158,0.5702503966255986,0.027184196195574325
159,0.5690128040433908,0.030912912600465078
160,0.5684069251352606,0.03471777336616002
161,0.5684626557861708,0.038159217988097224
162,0.5654535256403607,0.03648516323272211
163,0.5652742598049016,0.04005957637008995
164,0.5650513788722058,0.03601863660755677
165,0.5646574735529284,0.0396452455853907
166,0.5641906936681453,0.035568289060525254
167,0.5649841045866866,0.03309638169555036
168,0.5660313420777598,0.03387309048477485
169,0.567116462269613,0.03392833179802444
170,0.5673449833212597,0.03701261688586289
171,0.567999914042387,0.03430342870948135
172,0.5686315244710853,0.03662412701040178
173,0.5674004958893903,0.03994425675853333
174,0.566055114240331,0.04314423940733269
175,0.5670435607619144,0.04187284221939628
176,0.5650596901421427,0.038912326406831
177,0.5660513402145934,0.03775107675823086
178,0.5670558468928022,0.038239283082807496
179,0.5679114341935501,0.03640758190129551
180,0.5665425208646238,0.03293967246475116
181,0.5674585836881566,0.03150869359417729
182,0.5681299083384719,0.03352868186180176
183,0.5672560218818932,0.029882944986440903
184,0.5678933568972632,0.027475735786482658
185,0.566081955581071,0.024630991939600902
186,0.5670046260209207,0.023475741263676273
187,0.5658765506501344,0.026620084128345028
188,0.5644412631844195,0.029495250156050704
189,0.562482356416681,0.02697761136306367
190,0.5604277087385678,0.02466617787593322
191,0.5613583936911222,0.025515033633516787
192,0.5620661550540268,0.02734256514638845
193,0.5604997396681716,0.02445106631752622
194,0.5597125292714645,0.027593311906708964
195,0.5594250137177669,0.030702113434073305
196,0.559685392920782,0.02772578950313192
197,0.5603681133798708,0.029544209711893213
198,0.5613266439266883,0.0294230862533155
199,0.5622258088191967,0.03013254072197094
200,0.5629586363358837,0.028297410659689826
201,0.5615527049924919,0.02540848640703056
202,0.5624714115210787,0.024811252424142782
203,0.5627067438182625,0.02196441664574075
204,0.5604097979539239,0.023156094680087197
205,0.5613312779708652,0.023294607995693082
206,0.5611625094833654,0.026214593052855492
207,0.5601828211509953,0.02905017172409284
208,0.5599465858868135,0.03194644815068446
209,0.5606627782932571,0.03339267702099557
210,0.5603459012722086,0.030203079555383094
211,0.5591728562391016,0.03281822207455265
212,0.5600723885616523,0.03251145530149548
213,0.5605769561101585,0.034497039188574524
214,0.5612806204122541,0.03587090389113168
215,0.5607854520922382,0.03272204105169331
216,0.5611960289366112,0.030292143382715315
217,0.5600305670899776,0.02748857114575151
218,0.56086245217909,0.028103585054619733
219,0.5609929712900558,0.030613423821606204
220,0.561769197136541,0.03152426904396921
221,0.562524120595914,0.030255560100293375
222,0.5633177657423103,0.029291794839043872
223,0.5626655629472734,0.032017443176199464
224,0.5634895229911637,0.03144967585851355
225,0.5642343291355337,0.030265369888022663
226,0.561887863655433,0.029636640082564017
227,0.5599895085956343,0.028004170591502092
228,0.5598233719093924,0.030632159100183055
229,0.5605230086309128,0.03177255893038877
230,0.5592109106889176,0.03394141716154199
231,0.5595198013024117,0.03606676810299967
232,0.5601855244862042,0.03454302945115368
233,0.5593430506505976,0.03174961484469544
234,0.55941315570989,0.03414095392925632
235,0.559612455995529,0.0363735208381403
236,0.5575672538088263,0.0371797478339799
237,0.5583390448670084,0.0377400059784345
238,0.5577902714506329,0.040267592066718615
239,0.5581865504944298,0.04213668774257781
240,0.5579923694524195,0.044593204563041236
241,0.558776681602829,0.04482086369913243
242,0.557136675976609,0.04627577040929107
243,0.5559028077924408,0.04826348541837672
244,0.5539515535010825,0.04710971944309902
245,0.5530328256005059,0.049345392978610264
246,0.5524603088910313,0.05173047693187652
247,0.5507931152161001,0.05006590700399524
248,0.5486254471058334,0.04968262221756278
249,0.5479435418117052,0.051990030296082235
250,0.5485568532406038,0.05323919110310968
251,0.5491918087690784,0.051669748954888885
252,0.5476873906939272,0.049836584024502674
253,0.5473483379241365,0.052176505309212966
254,0.5480601784528486,0.052963366703210564
255,0.5480883233209234,0.05037204512908855
256,0.5486147792324597,0.04854109467894139
257,0.549200853990778,0.04979589996334767
258,0.54995463358552,0.05014760111653651
259,0.5489621071055566,0.05213766766015425
260,0.5496562001518784,0.052880149335580245
261,0.5503252299456681,0.05372070805154893
262,0.5510127842217336,0.052603652714748594
263,0.5513642278511569,0.05431956451558714
264,0.5518198126748672,0.05242330136378414
265,0.5514362340648691,0.04980447453696856
266,0.5521503574284082,0.04900699420981479
267,0.5527246637434899,0.04751354314322983
268,0.5534582714784771,0.04712730448025145
269,0.5541903724796313,0.04695242688319835
270,0.554281808396927,0.04895925186445663
271,0.5548705976450222,0.04760361793687515
272,0.5555764905461913,0.04780600387388298
273,0.5538554327524934,0.04672395492117043
274,0.5526336290622766,0.0447913214779705
275,0.5531575761580714,0.043250540589539234
276,0.5531873544764825,0.045281505834656524
277,0.5526527864411471,0.04740810519555471
278,0.5519963398062114,0.04500721212971141
279,0.5526164962687918,0.043883486660404064
280,0.5530319105377993,0.04210986510198305
281,0.55165231605021,0.043395254685592716
282,0.5514294431104748,0.0409775376720698
283,0.5518731491664536,0.03930030577962276
284,0.5513594507293224,0.041396596088781455
285,0.5517816154213527,0.04281891579875065
286,0.5523867501295284,0.0417270020829167
287,0.5530732281484787,0.04138886561449668
288,0.5536499317011465,0.04227468741426851
289,0.5543170494685773,0.0425059592417812
290,0.554912711211504,0.04325095455640004
291,0.5555549103798753,0.04255425691081696
292,0.5545270958620634,0.040602132031950115
293,0.5527357598135587,0.04080817312706374
294,0.5533378417666168,0.041499113959058434
295,0.5539668184630387,0.040735257662462034
296,0.5545222563226242,0.03958482260759277
297,0.5550135681896157,0.04068912682599151
298,0.5536942553563109,0.041886955569067345
299,0.5542212396646085,0.04064677367870304
300,0.5529413252452933,0.039140439879963976
301,0.5518774311835934,0.040674699304254644
302,0.5517630588821815,0.03845511796713729
303,0.5522890546877715,0.03941626349267572
304,0.5529363512357578,0.03950020863252187
305,0.5525395112164744,0.041470856639659666
306,0.5530532847453787,0.042430076643160376
307,0.5523051662873599,0.04036642856134425
308,0.5525691001104557,0.038545499786527854
309,0.5513270161344009,0.03709726326429868
310,0.5507618551400757,0.0349671992259665
311,0.5511828063099756,0.03349756861042639
312,0.5499463523325031,0.03209694226292556
313,0.5503673086214994,0.030646045224851495
314,0.5503126298273497,0.028566897486753205
315,0.5508458461126357,0.029430543461919277
316,0.5514724026314386,0.0291152039613021
317,0.5515903150931208,0.030850386858146988
318,0.5513042196164317,0.028734184320572113
319,0.5507537929543993,0.030598044032103724
320,0.5507610984979671,0.02859632308333668
321,0.5513413371711258,0.0291251299270505
322,0.5508055766644643,0.0270950265677918
323,0.5508543547905365,0.025154373222038066
324,0.5496000135796516,0.023942538176766136
325,0.5496782574084437,0.022045913211266307
326,0.5486648997936727,0.023462738062387994
327,0.5492770308438752,0.02360755260318896
328,0.5487562920135245,0.025439890630137175
329,0.5490834708088885,0.026821443414229925
330,0.5481489795985571,0.025192285834478145
331,0.5483442829627655,0.0234517156846876
332,0.5484644183546888,0.025127675159338208
333,0.5481676137955673,0.026981088382969715
334,0.5487722538991134,0.026796654880140595
335,0.5482055778971686,0.028551919050608443
336,0.5483582533566975,0.030156085620729065
337,0.5488525782928734,0.029132882633708796
338,0.5483703241901713,0.027189607801924427
339,0.5485929978298939,0.02552939833292195
340,0.5471437841847866,0.025971577188995894
341,0.5476408117665811,0.024993064036272963
342,0.5482283876409784,0.024697692011431932
343,0.5486389677844835,0.023452740099892715
344,0.5476384705717772,0.022036765448687094
345,0.5463140757356677,0.022726978241949927
346,0.5465573371127588,0.02418094369571261
347,0.5467994115755125,0.02259669218765179
348,0.5458488289971811,0.023910157905392596
349,0.5450113742749927,0.022334570779666205
350,0.5454582275713817,0.021229282097842507
351,0.5453998426281067,0.01938361689134496
352,0.5456626110335295,0.020788397523042738
353,0.5456449348606409,0.018976094747451294
354,0.5453034962745424,0.017116049225458438
